k,Re_x,Im_x,Re_y,Im_y,Re_z,Im_z,mean
55,1.401544e+00,1.401544e+00,7.098201e-01,7.098201e-01,2.408800e+00,2.408800e+00,1.506721e+00
56,4.078416e+00,4.078416e+00,1.363737e+00,1.363737e+00,4.016934e+00,4.016934e+00,3.153029e+00
57,9.319054e-01,9.319054e-01,7.284652e-01,7.284652e-01,9.991872e-01,9.991872e-01,8.865193e-01
58,1.693966e+00,1.693966e+00,3.608508e+00,3.608508e+00,3.669793e+00,3.669793e+00,2.990755e+00
59,3.886656e+00,3.886656e+00,3.041283e+00,3.041283e+00,2.795936e+00,2.795936e+00,3.241292e+00
60,1.700202e+00,1.700202e+00,1.160627e+00,1.160627e+00,1.699681e+00,1.699681e+00,1.520170e+00
61,3.424589e+00,3.424589e+00,1.892559e+00,1.892559e+00,2.172661e+00,2.172661e+00,2.496603e+00
62,1.649454e+00,1.649454e+00,7.243899e-01,7.243899e-01,8.764524e-01,8.764524e-01,1.083432e+00
63,1.010983e+00,1.010983e+00,8.858182e-01,8.858182e-01,8.692587e-01,8.692587e-01,9.220200e-01
64,3.984984e+00,3.984984e+00,3.173080e+01,3.173080e+01,3.058442e+00,3.058442e+00,1.292474e+01
